Dataset,Model,Lambda,Fold,Accuracy,Latency,Depth,FitTime,SOPs
CIFAR-10,NSF,0.25,3,0.8926428571428572,21.97981580288579,10.0,6117.074156284332,
CIFAR-10,NST,0.5,3,0.6947142857142857,19.872497915122747,10.0,646.9666740894318,
CIFAR-10,NSF,0.5,3,0.8751428571428571,19.74793101143909,10.0,6087.542299032211,
CIFAR-10,CART,0.0,4,0.8412142857142858,0.0,10.0,0.0,
CIFAR-10,CatBoost,0.0,4,0.9521904761904764,0.0,6.0,0.0,
CIFAR-10,LightGBM,0.0,4,0.9786666666666668,0.0,6.0,0.0,
CIFAR-10,NSF,0.0,4,0.8966190476190476,52.874087641121264,10.0,5745.697495619456,
CIFAR-10,NSF,0.1,4,0.9002857142857144,38.00474070137536,10.0,25186.54296239217,
CIFAR-10,NSF,0.25,4,0.8853809523809524,21.968008367779376,10.0,6291.090830485026,
CIFAR-10,NSF,0.5,4,0.8815238095238095,19.75213340927149,10.0,6286.143757581711,
CIFAR-10,NST,0.0,4,0.7677142857142858,54.22455359950765,10.0,541.9437865416209,
CIFAR-10,NST,0.1,4,0.7974523809523809,40.136501197448105,10.0,1118.5876879692078,
CIFAR-10,NST,0.25,4,0.8119285714285714,23.860982251221657,10.0,681.3046220143636,
CIFAR-10,NST,0.5,4,0.7452857142857142,19.86296008724462,10.0,669.1222088336945,
CIFAR-10,RF,0.0,4,0.9439285714285712,0.0,10.0,0.0,
CIFAR-10,XGBoost,0.0,4,0.9737380952380952,0.0,6.0,0.0,
CIFAR-10,CART,0.0,5,0.8412142857142858,0.0,10.0,0.0,
CIFAR-10,CatBoost,0.0,5,0.9521904761904764,0.0,6.0,0.0,
CIFAR-10,LightGBM,0.0,5,0.9786666666666668,0.0,6.0,0.0,
CIFAR-10,NSF,0.0,5,0.8966190476190476,52.874087641121264,10.0,5745.697495619456,
CIFAR-10,NSF,0.1,5,0.9002857142857144,38.00474070137536,10.0,25186.54296239217,
CIFAR-10,NSF,0.25,5,0.8853809523809524,21.968008367779376,10.0,6291.090830485026,
CIFAR-10,NSF,0.5,5,0.8815238095238095,19.75213340927149,10.0,6286.143757581711,
CIFAR-10,NST,0.0,5,0.7677142857142858,54.22455359950765,10.0,541.9437865416209,
CIFAR-10,NST,0.1,5,0.7974523809523809,40.136501197448105,10.0,1118.5876879692078,
CIFAR-10,NST,0.25,5,0.8119285714285714,23.860982251221657,10.0,681.3046220143636,
CIFAR-10,NST,0.5,5,0.7452857142857142,19.86296008724462,10.0,669.1222088336945,
CIFAR-10,RF,0.0,5,0.9439285714285712,0.0,10.0,0.0,
CIFAR-10,XGBoost,0.0,5,0.9737380952380952,0.0,6.0,0.0,
SHD,CART,0.0,1,0.5479846449136276,0.0,10.0,0.0,
SHD,RF,0.0,1,0.8982725527831094,0.0,10.0,0.0,
SHD,NST,0.0,1,0.6271593090211133,41.368432322309594,10.0,17.90753149986267,9.389635316698657
SHD,NSF,0.0,1,0.7322456813819578,41.10157752299956,10.0,80.57325625419617,46.10172744721689
SHD,NST,0.1,1,0.6242802303262955,41.24088049397672,10.0,18.57533574104309,9.393953934740884
SHD,NSF,0.1,1,0.7600767754318618,40.24322992083957,10.0,79.27475666999817,46.144913627639156
SHD,NST,0.25,1,0.6146833013435701,38.665463272575685,10.0,17.191699743270874,9.325815738963533
SHD,NSF,0.25,1,0.7461612284069098,39.28570171092409,10.0,75.70771813392639,46.44961612284069
SHD,NST,0.5,1,0.5887715930902111,37.20677409041846,10.0,16.091562747955322,9.488483685220729
SHD,NSF,0.5,1,0.7216890595009597,37.543594162499076,10.0,75.42228817939758,46.55902111324376
SHD,CART,0.0,2,0.5700575815738963,0.0,10.0,0.0,
SHD,RF,0.0,2,0.9016314779270633,0.0,10.0,0.0,
SHD,NST,0.0,2,0.6065259117082533,41.500923144665585,10.0,17.735501766204834,9.359884836852208
SHD,NSF,0.0,2,0.7092130518234165,41.032072032386814,10.0,75.6784884929657,46.18953934740883
SHD,NST,0.1,2,0.5863723608445297,41.37081991056671,10.0,17.09329891204834,9.314779270633398
SHD,NSF,0.1,2,0.6928982725527831,40.74794082634516,10.0,76.62568545341492,46.26343570057582
SHD,NST,0.25,2,0.6017274472168906,40.252000204150534,10.0,17.04550313949585,9.349328214971209
SHD,NSF,0.25,2,0.699616122840691,40.08693526081694,10.0,78.17893242835999,46.438579654510555
SHD,NST,0.5,2,0.5738963531669866,37.2175098804556,10.0,13.082306385040283,9.68426103646833
SHD,NSF,0.5,2,0.6775431861804223,38.0310483302778,10.0,70.02166771888733,46.88579654510556
SHD,CART,0.0,3,0.5849328214971209,0.0,10.0,0.0,
SHD,RF,0.0,3,0.8929942418426103,0.0,10.0,0.0,
SHD,NST,0.0,3,0.6089251439539347,41.12965679388793,10.0,16.94223380088806,9.321497120921306
SHD,NSF,0.0,3,0.7058541266794626,41.254868812067556,10.0,77.52192854881287,46.32725527831094
SHD,NST,0.1,3,0.5873320537428023,39.96104740795385,10.0,17.596498250961304,9.405470249520153
SHD,NSF,0.1,3,0.7164107485604606,40.46898603511726,10.0,75.4849648475647,46.477927063339735
SHD,NST,0.25,3,0.572936660268714,39.824772082679594,10.0,17.144811391830444,9.456813819577736
SHD,NSF,0.25,3,0.6904990403071017,39.87007400006726,10.0,75.98178124427795,46.425623800383875
SHD,NST,0.5,3,0.5801343570057581,37.70168709119924,10.0,17.238640069961548,9.415547024952016
SHD,NSF,0.5,3,0.6847408829174664,37.46177841431713,10.0,74.44328093528748,47.0158349328215
SHD,CART,0.0,4,0.5700575815738963,0.0,10.0,0.0,
SHD,RF,0.0,4,0.9011516314779271,0.0,10.0,0.0,
SHD,NST,0.0,4,0.5614203454894434,40.10690475477395,10.0,17.464213848114014,9.231285988483686
SHD,NSF,0.0,4,0.685700575815739,40.610977222576594,10.0,74.07097458839417,45.53886756238004
SHD,NST,0.1,4,0.5599808061420346,39.90702058979102,10.0,17.452539920806885,9.26295585412668
SHD,NSF,0.1,4,0.6727447216890595,39.43436008960709,10.0,76.68350911140442,45.549904030710174
SHD,NST,0.25,4,0.5609404990403071,38.22934319856697,10.0,16.50052261352539,9.310940499040306
SHD,NSF,0.25,4,0.6880998080614203,38.76446566937673,10.0,75.57949614524841,45.87236084452975
SHD,NST,0.5,4,0.5633397312859885,37.16552518123711,10.0,15.783360242843628,9.338771593090211
SHD,NSF,0.5,4,0.668426103646833,37.03000565788541,10.0,73.54622268676758,46.95729366602687
SHD,CART,0.0,5,0.6026871401151631,0.0,10.0,0.0,
SHD,RF,0.0,5,0.9025911708253359,0.0,10.0,0.0,
SHD,NST,0.0,5,0.6094049904030711,40.81530102629728,10.0,16.986939430236816,9.414107485604607
SHD,NSF,0.0,5,0.7140115163147792,41.27114635538753,10.0,78.10102891921997,46.12619961612284
SHD,NST,0.1,5,0.6079654510556622,41.16826284417833,10.0,17.72845768928528,9.36084452975048
SHD,NSF,0.1,5,0.7212092130518234,40.53638105190513,10.0,76.23078155517578,46.27879078694818
SHD,NST,0.25,5,0.5681381957773513,40.06469778017304,10.0,16.903398036956787,9.304222648752399
SHD,NSF,0.25,5,0.7317658349328215,39.74307135916556,10.0,76.64113926887512,46.24616122840691
SHD,NST,0.5,5,0.5714971209213052,38.04835046959883,10.0,16.661844491958618,9.43809980806142
SHD,NSF,0.5,5,0.6703454894433781,37.769321075976976,10.0,73.23122954368591,46.51919385796545
